sale_id,sale_datetime,product_id,product_name,brand,category,manager,supplier_name,supplier_country,region_name,city,quantity,unit_price,discount,revenue,payment_type,sales_channel
1,2024-10-12 13:27:05,113,HP Printers-808,HP,Printers,Pavlo Boyko,LocalDistributor,Ukraine,Kyivska,Kyiv,10,1044.39,645.73,9798.17,cash,marketplace
2,2024-04-06 19:45:36,124,Huawei Networking-757,Huawei,Networking,Iryna Savchuk,NordicParts,Sweden,Ivano-Frankivska,Ivano-Frankivsk,1,307.04,25.32,281.72,online,phone_order
3,2023-06-10 19:25:32,135,Sony Storage-654,Sony,Storage,Olena Koval,TechImport UA,Ukraine,Zaporizka,Zaporizhzhia,2,396.16,3.21,789.11,card,online_store
4,2024-03-30 19:11:48,109,Canon Printers-462,Canon,Printers,Maria Bondar,AsiaWholesale,China,Poltavska,Poltava,4,445.49,186.95,1595.01,invoice,online_store
5,2024-09-01 14:37:56,171,Sony Wearables-512,Sony,Wearables,Iryna Savchuk,AsiaWholesale,China,Zaporizka,Zaporizhzhia,1,18.35,2.56,15.79,invoice,store
6,2023-12-15 20:14:32,54,Acer Gaming-534,Acer,Gaming,Olena Koval,GigaTrade,Germany,Odeska,Odesa,1,218.94,38.9,180.04,cash,marketplace
7,2023-08-13 13:46:18,1,Apple Smartphone-922,Apple,Smartphones,Iryna Savchuk,TechImport UA,Ukraine,Zaporizka,Zaporizhzhia,2,2806.2,2718.03,2894.37,cash,wholesale
8,2023-05-21 10:26:37,152,Dell TV-499,Dell,TV,Serhii Kravchenko,BalkanStore,Romania,Ivano-Frankivska,Ivano-Frankivsk,3,1031.4,111.92,2982.28,card,phone_order
9,2024-05-21 19:47:52,95,Canon Cameras-957,Canon,Cameras,Andriy Shevchenko,BalkanStore,Romania,Dnipropetrovska,Dnipro,1,1201.3,92.67,1108.63,card,phone_order
10,2023-06-21 20:23:08,165,Canon Kitchen-857,Canon,Kitchen,Oksana Hladka,TechImport UA,Ukraine,Ternopilska,Ternopil,1,1211.37,393.96,817.41,card,online_store
11,2024-08-03 20:26:04,179,Nikon Wearables-414,Nikon,Wearables,Olena Koval,LocalDistributor,Ukraine,Ternopilska,Ternopil,1,227.9,36.08,191.82,cash,online_store
12,2024-12-15 10:19:00,64,Nikon Monitors-988,Nikon,Monitors,Oksana Hladka,AsiaWholesale,China,Ternopilska,Ternopil,1,689.38,45.85,643.53,card,marketplace
13,2023-03-14 16:36:48,93,Dell Smartwatch-105,Dell,Smartwatches,Kateryna Marchenko,TechImport UA,Ukraine,Poltavska,Poltava,1,588.1,1.26,586.84,cash,marketplace
14,2023-07-21 14:34:42,89,Apple Smartwatch-590,Apple,Smartwatches,Serhii Kravchenko,EuroSupply,Poland,Zaporizka,Zaporizhzhia,1,680.85,41.26,639.59,online,marketplace
15,2023-09-02 16:17:54,13,Bosch Smartphone-636,Bosch,Smartphones,Serhii Kravchenko,NordicParts,Sweden,Odeska,Odesa,2,986.63,306.68,1666.58,invoice,marketplace
16,2024-12-12 10:29:12,30,HP Accessorie-607,HP,Accessories,Kateryna Marchenko,EuroSupply,Poland,Dnipropetrovska,Dnipro,2,8.69,0.77,16.61,online,wholesale
17,2025-02-15 19:38:58,32,Dell Accessorie-515,Dell,Accessories,Maria Bondar,USADirect,USA,Poltavska,Poltava,1,317.22,20.91,296.31,cash,marketplace
18,2024-12-13 13:10:21,132,Google Networking-603,Google,Networking,Dmytro Melnyk,GigaTrade,Germany,Ivano-Frankivska,Ivano-Frankivsk,3,482.91,167.44,1281.29,card,online_store
19,2024-12-03 11:54:19,93,Dell Smartwatch-105,Dell,Smartwatches,Maria Bondar,AsiaWholesale,China,Vinnytska,Vinnytsia,1,776.56,61.94,714.62,card,wholesale
20,2024-07-31 10:55:03,33,Panasonic Accessorie-349,Panasonic,Accessories,Oksana Hladka,LocalDistributor,Ukraine,Odeska,Odesa,2,389.6,129.81,649.39,online,wholesale
21,2023-05-12 21:05:43,21,Xiaomi Laptops-918,Xiaomi,Laptops,Volodymyr Ivanov,NordicParts,Sweden,Vinnytska,Vinnytsia,1,1223.63,186.57,1037.06,invoice,store
22,2023-02-14 20:40:20,72,Microsoft Headphones-325,Microsoft,Headphones,Dmytro Melnyk,TechImport UA,Ukraine,Odeska,Odesa,1,49.28,0.38,48.9,card,wholesale
23,2025-02-26 20:36:50,140,OnePlus Storage-358,OnePlus,Storage,Kateryna Marchenko,NordicParts,Sweden,Lvivska,Lviv,3,563.77,285.99,1405.32,invoice,store
24,2024-10-30 08:59:52,37,Canon Accessorie-759,Canon,Accessories,Ivan Petrenko,EuroSupply,Poland,Kharkivska,Kharkiv,1,77.59,11.09,66.5,card,marketplace
25,2023-02-14 10:40:17,132,Google Networking-603,Google,Networking,Oksana Hladka,BalkanStore,Romania,Dnipropetrovska,Dnipro,2,526.75,8.47,1045.03,online,store
26,2024-10-10 18:27:34,60,Lenovo Monitors-662,Lenovo,Monitors,Andriy Shevchenko,NordicParts,Sweden,Kyivska,Kyiv,1,571.4,75.79,495.61,online,phone_order
27,2023-11-28 18:03:52,13,Bosch Smartphone-636,Bosch,Smartphones,Olena Koval,EuroSupply,Poland,Dnipropetrovska,Dnipro,2,648.29,167.95,1128.63,invoice,phone_order
28,2024-08-06 10:50:45,15,Sony Laptops-874,Sony,Laptops,Pavlo Boyko,LocalDistributor,Ukraine,Kyivska,Kyiv,1,3280.14,184.77,3095.37,invoice,store
29,2024-05-19 13:53:22,132,Google Networking-603,Google,Networking,Oksana Hladka,NordicParts,Sweden,Dnipropetrovska,Dnipro,2,289.97,90.42,489.52,online,marketplace
30,2024-12-06 10:31:23,42,Google Home Appli-210,Google,Home Appliances,Volodymyr Ivanov,NordicParts,Sweden,Zaporizka,Zaporizhzhia,1,1093.31,55.17,1038.14,cash,store
31,2024-08-26 17:47:07,165,Canon Kitchen-857,Canon,Kitchen,Ivan Petrenko,USADirect,USA,Kharkivska,Kharkiv,1,1825.55,301.29,1524.26,online,store
32,2024-12-11 17:50:00,55,Apple Gaming-626,Apple,Gaming,Maria Bondar,NordicParts,Sweden,Dnipropetrovska,Dnipro,2,129.74,7.12,252.36,card,online_store
33,2024-08-16 12:22:11,156,Asus Kitchen-324,Asus,Kitchen,Ivan Petrenko,USADirect,USA,Dnipropetrovska,Dnipro,1,617.67,7.35,610.32,invoice,phone_order
34,2023-04-18 10:21:10,127,Sony Networking-316,Sony,Networking,Ivan Petrenko,BalkanStore,Romania,Ivano-Frankivska,Ivano-Frankivsk,1,464.56,75.99,388.57,invoice,store
35,2024-04-12 16:54:16,96,Seagate Cameras-392,Seagate,Cameras,Andriy Shevchenko,USADirect,USA,Kharkivska,Kharkiv,1,997.09,156.93,840.16,cash,wholesale
36,2025-02-14 10:52:29,93,Dell Smartwatch-105,Dell,Smartwatches,Andriy Shevchenko,EuroSupply,Poland,Zaporizka,Zaporizhzhia,1,545.95,69.83,476.12,online,online_store
37,2024-10-08 17:08:28,139,Dell Storage-800,Dell,Storage,Maria Bondar,USADirect,USA,Kharkivska,Kharkiv,1,153.25,1.31,151.94,invoice,wholesale
38,2024-05-24 16:37:25,18,Apple Laptops-334,Apple,Laptops,Dmytro Melnyk,AsiaWholesale,China,Zaporizka,Zaporizhzhia,1,485.53,5.16,480.37,cash,online_store
39,2025-02-25 09:45:17,125,LG Networking-275,LG,Networking,Andriy Shevchenko,BalkanStore,Romania,Kharkivska,Kharkiv,1,282.35,20.97,261.38,card,marketplace
40,2024-05-08 13:00:45,77,Apple Headphones-174,Apple,Headphones,Maria Bondar,BalkanStore,Romania,Kyivska,Kyiv,1,596.64,28.07,568.57,cash,wholesale
41,2024-05-27 12:04:32,109,Canon Printers-462,Canon,Printers,Iryna Savchuk,AsiaWholesale,China,Vinnytska,Vinnytsia,1,850.96,131.87,719.09,card,store
42,2024-05-08 17:33:59,174,Asus Wearables-211,Asus,Wearables,Oksana Hladka,GigaTrade,Germany,Lvivska,Lviv,1,237.12,16.98,220.14,online,online_store
43,2025-02-01 20:52:56,111,Bosch Printers-721,Bosch,Printers,Natalia Romanyuk,EuroSupply,Poland,Poltavska,Poltava,1,922.9,117.73,805.17,card,phone_order
44,2023-11-26 12:38:53,21,Xiaomi Laptops-918,Xiaomi,Laptops,Ivan Petrenko,TechImport UA,Ukraine,Vinnytska,Vinnytsia,3,1302.74,30.82,3877.4,online,phone_order
45,2024-05-19 08:55:33,35,Asus Accessorie-796,Asus,Accessories,Iryna Savchuk,LocalDistributor,Ukraine,Dnipropetrovska,Dnipro,1,168.59,23.65,144.94,cash,wholesale
46,2023-12-10 15:45:21,139,Dell Storage-800,Dell,Storage,Olena Koval,LocalDistributor,Ukraine,Kyivska,Kyiv,3,117.91,57.5,296.23,card,phone_order
47,2023-08-31 12:34:58,147,Panasonic TV-513,Panasonic,TV,Kateryna Marchenko,AsiaWholesale,China,Kharkivska,Kharkiv,1,2138.75,121.63,2017.12,online,wholesale
48,2023-09-21 19:12:15,99,Huawei Cameras-386,Huawei,Cameras,Volodymyr Ivanov,BalkanStore,Romania,Ternopilska,Ternopil,1,1230.55,101.66,1128.89,card,phone_order
49,2023-11-23 19:42:53,140,OnePlus Storage-358,OnePlus,Storage,Kateryna Marchenko,LocalDistributor,Ukraine,Odeska,Odesa,10,496.41,603.63,4360.47,invoice,phone_order
50,2024-03-30 12:39:00,54,Acer Gaming-534,Acer,Gaming,Kateryna Marchenko,NordicParts,Sweden,Vinnytska,Vinnytsia,2,328.35,22.29,634.41,invoice,store
